Date,Return
08/19/2014,0.00807338679366512
08/18/2014,0.01513558145700471
08/15/2014,-0.002035936210237145
08/14/2014,-0.00022616377949099596
08/13/2014,0.02141339565845119
08/12/2014,-0.009068757247306238
08/11/2014,-0.0015647976973009433
08/08/2014,0.009603123672452266
08/07/2014,-0.005321660638059957
08/06/2014,0.0023077603574989452
08/05/2014,-0.01409760983749417
08/04/2014,0.012507383042377605
08/01/2014,-0.009674656968665282
07/31/2014,-0.026931304061905033
07/30/2014,0.003090809347345511
07/29/2014,-0.008449104660963096
07/28/2014,0.0026824366038291836
07/25/2014,-0.00729749811811322
07/24/2014,-0.004412905042009824
07/23/2014,0.0020848897731681223
